,TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
0,581482,12/9/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,17490.0,United Kingdom
1,581475,12/9/2019,22596,Christmas Star Wish List Chalkboard,10.65,36,13069.0,United Kingdom
2,581475,12/9/2019,23235,Storage Tin Vintage Leaf,11.53,12,13069.0,United Kingdom
3,581475,12/9/2019,23272,Tree T-Light Holder Willie Winkie,10.65,12,13069.0,United Kingdom
4,581475,12/9/2019,23239,Set Of 4 Knick Knack Tins Poppies,11.94,6,13069.0,United Kingdom
5,581475,12/9/2019,21705,Bag 500g Swirly Marbles,10.65,24,13069.0,United Kingdom
6,581475,12/9/2019,22118,Joy Wooden Block Letters,11.53,18,13069.0,United Kingdom
7,581475,12/9/2019,22119,Peace Wooden Block Letters,12.25,12,13069.0,United Kingdom
8,581475,12/9/2019,22217,T-Light Holder Hanging Lace,10.65,12,13069.0,United Kingdom
9,581475,12/9/2019,22216,T-Light Holder White Lace,10.55,24,13069.0,United Kingdom
10,581475,12/9/2019,22380,Toy Tidy Spaceboy,11.06,20,13069.0,United Kingdom
11,581475,12/9/2019,22442,Grow Your Own Flowers Set Of 3,12.25,12,13069.0,United Kingdom
12,581475,12/9/2019,22664,Toy Tidy Dolly Girl Design,11.06,20,13069.0,United Kingdom
13,581475,12/9/2019,22721,Set Of 3 Cake Tins Sketchbook,12.25,12,13069.0,United Kingdom
14,581475,12/9/2019,22723,Set Of 6 Herb Tins Sketchbook,11.53,12,13069.0,United Kingdom
15,581475,12/9/2019,22785,Squarecushion Cover Pink Union Jack,11.53,12,13069.0,United Kingdom
16,581475,12/9/2019,22955,36 Foil Star Cake Cases,11.06,24,13069.0,United Kingdom
17,581475,12/9/2019,23141,Triple Wire Hook Pink Heart,11.06,12,13069.0,United Kingdom
18,581475,12/9/2019,22956,36 Foil Heart Cake Cases,11.06,24,13069.0,United Kingdom
19,581475,12/9/2019,22581,Wood Stocking Christmas Scandispot,10.55,48,13069.0,United Kingdom
20,581476,12/9/2019,23198,Pantry Magnetic Shopping List,11.53,48,12433.0,Norway
21,581476,12/9/2019,23197,Sketchbook Magnetic Shopping List,11.74,24,12433.0,Norway
22,581476,12/9/2019,23184,Bull Dog Bottle Opener,15.32,8,12433.0,Norway
23,581476,12/9/2019,23168,Classic Cafe Sugar Dispenser,11.53,12,12433.0,Norway
24,581476,12/9/2019,23167,Small Ceramic Top Storage Jar,10.96,96,12433.0,Norway
25,581476,12/9/2019,23166,Medium Ceramic Top Storage Jar,11.32,48,12433.0,Norway
