,UserId,TransactionId,TransactionTime,ItemCode,ItemDescription,NumberOfItemsPurchased,CostPerItem,Country
0,278166,6355745,Sat Feb 02 12:50:00 IST 2019,465549,FAMILY ALBUM WHITE PICTURE FRAME,6,11.73,United Kingdom
1,337701,6283376,Wed Dec 26 09:06:00 IST 2018,482370,LONDON BUS COFFEE MUG,3,3.52,United Kingdom
2,267099,6385599,Fri Feb 15 09:45:00 IST 2019,490728,SET 12 COLOUR PENCILS DOLLY GIRL ,72,0.9,France
3,380478,6044973,Fri Jun 22 07:14:00 IST 2018,459186,UNION JACK FLAG LUGGAGE TAG,3,1.73,United Kingdom
4,-1,6143225,Mon Sep 10 11:58:00 IST 2018,1733592,WASHROOM METAL SIGN,3,3.4,United Kingdom
5,285957,6307136,Fri Jan 11 09:50:00 IST 2019,1787247,CUT GLASS T-LIGHT HOLDER OCTAGON,12,3.52,United Kingdom
6,345954,6162981,Fri Sep 28 10:51:00 IST 2018,471576,NATURAL SLATE CHALKBOARD LARGE ,9,6.84,United Kingdom
7,-1,6143225,Mon Sep 10 11:58:00 IST 2018,447867,SKULLS WRITING SET ,120,1.15,United Kingdom
8,339822,6255403,Mon Dec 10 09:23:00 IST 2018,1783845,MULTI COLOUR SILVER T-LIGHT HOLDER,36,1.18,United Kingdom
9,328440,6387425,Sat Feb 16 10:35:00 IST 2019,494802,SET OF 6 RIBBONS PERFECTLY PRETTY  ,36,3.99,United Kingdom
10,316848,6262696,Sat Dec 15 10:05:00 IST 2018,460215,RED  HARMONICA IN BOX ,36,1.73,United Kingdom
11,372897,6199061,Mon Oct 29 09:04:00 IST 2018,459669,WOODEN BOX OF DOMINOES,3,1.73,United Kingdom
12,364791,6358242,Sun Feb 03 09:25:00 IST 2019,486276,SET OF 5 MINI GROCERY MAGNETS,3,2.88,United Kingdom
13,-1,6058140,Mon Jul 02 07:33:00 IST 2018,435225,LUNCH BAG RED RETROSPOT,60,6.85,United Kingdom
14,321321,6254358,Mon Dec 10 05:43:00 IST 2018,455868,FOLDING UMBRELLA CREAM POLKADOT,12,6.84,United Kingdom
15,304353,6328674,Mon Jan 21 09:54:00 IST 2019,477246,ALARM CLOCK BAKELIKE GREEN,24,5.18,United Kingdom
16,369852,6075883,Sat Jul 21 08:14:00 IST 2018,477036,CARD CIRCUS PARADE,36,0.58,United Kingdom
17,-1,6288843,Sun Dec 30 12:58:00 IST 2018,489594,VINTAGE CHRISTMAS TABLECLOTH,3,34.45,United Kingdom
18,278985,6064025,Mon Jul 09 09:03:00 IST 2018,1771938,SET OF 3 HEART COOKIE CUTTERS,36,1.73,United Kingdom
19,331884,6223569,Sun Nov 18 11:14:00 IST 2018,461622,PACK OF 12 SUKI TISSUES ,72,0.54,United Kingdom
20,335580,6031883,Mon Jun 11 11:05:00 IST 2018,476028,PINK BABY BUNTING,150,3.52,United Kingdom
21,364308,6257163,Tue Dec 11 07:39:00 IST 2018,434028,DISCO BALL CHRISTMAS DECORATION,72,0.17,United Kingdom
22,262269,5945093,Wed Mar 21 09:13:00 IST 2018,474726,WOODEN SKITTLES GARDEN SET,6,22.02,France
23,-1,6388019,Sat Feb 16 13:24:00 IST 2019,490329,ROLL WRAP VINTAGE CHRISTMAS,30,3.4,United Kingdom
24,-1,6212987,Sun Nov 11 08:02:00 IST 2018,443436,OWL DOORSTOP,3,11.45,United Kingdom
25,296016,6309336,Sat Jan 12 10:09:00 IST 2019,464751,FOOD CONTAINER SET 3 LOVE HEART ,3,5.7,United Kingdom
26,373170,6101095,Mon Aug 06 08:34:00 IST 2018,452844,PINK  HEART SHAPE LOVE BUCKET ,15,4.08,United Kingdom
27,281568,6344448,Mon Jan 28 09:13:00 IST 2019,485667,FELTCRAFT GIRL NICOLE KIT,36,6.84,United Kingdom
28,-1,6217541,Wed Nov 14 05:26:00 IST 2018,469392,LUNCH BOX WITH CUTLERY RETROSPOT ,3,6.85,United Kingdom
29,364266,6370276,Sat Feb 09 07:54:00 IST 2019,453348,RETROSPOT GIANT TUBE MATCHES,6,3.52,United Kingdom
30,-1,6212294,Sun Nov 11 06:29:00 IST 2018,482559,PANTRY WASHING UP BRUSH,6,4.55,United Kingdom
31,344253,6167568,Mon Oct 01 07:54:00 IST 2018,460656,RED RETROSPOT PICNIC BAG,6,4.08,United Kingdom
32,322371,6244425,Mon Dec 03 11:54:00 IST 2018,488019,SET OF 4 KNICK KNACK TINS POPPIES,18,5.73,United Kingdom
33,366051,5968743,Fri Apr 13 10:36:00 IST 2018,441735,SET/2 RED RETROSPOT TEA TOWELS ,9,4.08,United Kingdom
34,291753,5984385,Sun Apr 29 07:30:00 IST 2018,472647,MEMO BOARD RETROSPOT  DESIGN,12,6.84,United Kingdom
35,355383,6335252,Fri Jan 25 06:35:00 IST 2019,435204,RED RETROSPOT CHARLOTTE BAG,30,1.18,United Kingdom
36,-1,5934412,Sat Mar 03 06:14:00 IST 2018,436380,BLACK EAR MUFF HEADPHONES,3,15.21,United Kingdom
37,-1,5952144,Tue Mar 27 10:29:00 IST 2018,434973,JUMBO BAG OWLS,12,5.7,United Kingdom
38,364098,6090810,Mon Jul 30 11:35:00 IST 2018,475839,LUNCH BOX I LOVE LONDON,9,2.7,United Kingdom
39,380478,5976399,Sat Apr 21 08:05:00 IST 2018,1784370,HANGING HEART ZINC T-LIGHT HOLDER,6,1.18,United Kingdom
40,341355,5940143,Sun Mar 18 07:30:00 IST 2018,476007,RECIPE BOX RETROSPOT ,15,4.08,United Kingdom
41,344946,6383036,Wed Feb 13 08:59:00 IST 2019,469875,AIRLINE BAG VINTAGE JET SET BROWN,3,5.87,United Kingdom
42,271341,5995253,Wed May 09 10:25:00 IST 2018,445452,PACK OF 72 RETROSPOT CAKE CASES,72,0.76,United Kingdom
43,-1,5925458,Sat Feb 24 12:46:00 IST 2018,440370,PINK FLORAL FELTCRAFT SHOULDER BAG,3,5.18,United Kingdom
44,259854,6339795,Sat Jan 26 11:37:00 IST 2019,1784832,72 SWEETHEART FAIRY CAKE CASES,72,0.76,Austria
45,-1,6079370,Sun Jul 22 11:06:00 IST 2018,456351,RED TOADSTOOL LED NIGHT LIGHT,3,5.7,United Kingdom
46,336693,6197884,Sun Oct 28 09:50:00 IST 2018,459963,MAN FLU METAL SIGN,6,2.9,United Kingdom
47,308280,5962924,Sun Apr 08 08:31:00 IST 2018,435288,LUNCH BAG CARS BLUE,90,2.28,United Kingdom
48,377937,6226627,Tue Nov 20 11:16:00 IST 2018,444759,NO JUNK MAIL METAL SIGN,72,0.54,United Kingdom
49,318969,6150430,Mon Sep 17 08:56:00 IST 2018,454818,GLASS  BEURRE DISH,72,4.68,United Kingdom
50,-1,6149418,Sun Sep 16 11:31:00 IST 2018,474873,PACK OF 20 SPACEBOY NAPKINS,3,2.25,United Kingdom
51,371175,6183606,Mon Oct 15 06:45:00 IST 2018,440538,36 PENCILS TUBE SKULLS,48,1.73,United Kingdom
52,313992,6275643,Sun Dec 23 06:33:00 IST 2018,461664,PACK OF 12 PINK PAISLEY TISSUES ,72,0.54,United Kingdom
53,327684,6288656,Sun Dec 30 10:47:00 IST 2018,465738,VICTORIAN GLASS HANGING T-LIGHT,18,2.7,United Kingdom
54,336420,6359661,Mon Feb 04 07:18:00 IST 2019,490455,HOT WATER BOTTLE KEEP CALM,12,6.84,United Kingdom
55,297066,6379318,Tue Feb 12 06:18:00 IST 2019,492513,OVAL  MINI PORTRAIT FRAME,24,2.7,United Kingdom
56,260148,6249595,Fri Dec 07 07:30:00 IST 2018,488145,SET OF 3 REGENCY CAKE TINS,24,6.84,Australia
57,-1,6390813,Sun Feb 17 12:26:00 IST 2019,476763,PINK CAT BOWL,6,2.25,United Kingdom
58,275877,6212019,Fri Nov 09 08:44:00 IST 2018,479955,FINE WICKER HEART ,30,1.73,United Kingdom
59,308196,6244777,Tue Dec 04 05:52:00 IST 2018,479157,CARD SUKI BIRTHDAY,108,0.58,United Kingdom
60,291060,6232842,Mon Nov 26 05:27:00 IST 2018,471765,HANGING METAL STAR LANTERN,36,2.28,United Kingdom
61,302547,6169504,Tue Oct 02 09:54:00 IST 2018,358911,VANILLA INCENSE IN TIN,108,0.53,United Kingdom
62,339213,6197070,Sun Oct 28 05:34:00 IST 2018,452319,RED RETROSPOT BUTTER DISH,18,6.84,United Kingdom
63,323547,6321260,Fri Jan 18 07:55:00 IST 2019,493563,PLAYING CARDS KEEP CALM & CARRY ON,3,1.73,United Kingdom
64,324156,6057161,Sun Jul 01 12:52:00 IST 2018,472017,WATERING CAN GARDEN MARKER,6,1.73,United Kingdom
65,360024,6238023,Wed Nov 28 08:50:00 IST 2018,452004,DOORMAT SPOTTY HOME SWEET HOME,6,11.39,United Kingdom
66,270207,5927790,Sun Feb 25 12:39:00 IST 2018,473256,MAGIC DRAWING SLATE PURDEY,6,0.58,United Kingdom
67,315924,6309061,Sat Jan 12 09:35:00 IST 2019,1732374,WOODEN FRAME ANTIQUE WHITE ,18,4.08,United Kingdom
68,-1,5956676,Sun Apr 01 13:34:00 IST 2018,477162,SET OF 6 SPICE TINS PANTRY DESIGN,6,11.45,United Kingdom
69,300909,6015757,Tue May 29 14:14:00 IST 2018,466452,FOUR HOOK  WHITE LOVEBIRDS,-3,2.9,United Kingdom
70,325164,6246383,Tue Dec 04 09:31:00 IST 2018,357063,BROCADE RING PURSE ,216,0.54,United Kingdom
71,-1,6396412,Wed Feb 20 06:03:00 IST 2019,478989,SET OF 6 T-LIGHTS SANTA,3,8.0,United Kingdom
72,-1,6314814,Mon Jan 14 11:33:00 IST 2019,1765638,SET/4 WHITE RETRO STORAGE CUBES ,3,80.45,United Kingdom
73,-1,6104560,Wed Aug 08 11:18:00 IST 2018,466137,SMALL POPCORN HOLDER,12,2.25,United Kingdom
74,267183,6266689,Mon Dec 17 11:52:00 IST 2018,489699,BOX OF 6 MINI 50'S CRACKERS,6,3.44,France
75,289317,6340114,Sun Jan 27 04:50:00 IST 2019,435225,LUNCH BAG RED RETROSPOT,270,2.01,United Kingdom
76,-1,5986211,Tue May 01 06:11:00 IST 2018,1787079,JUMBO  BAG BAROQUE BLACK WHITE,15,5.7,United Kingdom
77,-1,6137318,Tue Sep 04 11:35:00 IST 2018,472332,MINI PAINT SET VINTAGE ,3,2.25,United Kingdom
78,336273,6300426,Mon Jan 07 06:03:00 IST 2019,479031,SET OF 6 T-LIGHTS CACTI ,144,3.52,United Kingdom
79,300006,6343150,Mon Jan 28 06:34:00 IST 2019,462588,PENNY FARTHING BIRTHDAY CARD,36,0.58,United Kingdom
80,371406,6241719,Sun Dec 02 07:39:00 IST 2018,483588,DRAWER KNOB CRACKLE GLAZE BLUE,36,2.28,United Kingdom
81,336693,6321700,Fri Jan 18 09:53:00 IST 2019,461496,PACK OF 60 MUSHROOM CAKE CASES,3,0.76,United Kingdom
82,-1,5945148,Wed Mar 21 09:55:00 IST 2018,1784370,HANGING HEART ZINC T-LIGHT HOLDER,18,2.94,United Kingdom
83,297276,6196905,Sat Oct 27 10:39:00 IST 2018,474789,PENS ASSORTED SPACEBALL,108,0.27,EIRE
84,336693,6197884,Sun Oct 28 09:50:00 IST 2018,1733907,"AIRLINE LOUNGE,METAL SIGN",6,2.9,United Kingdom
85,282408,6242214,Sun Dec 02 08:53:00 IST 2018,471870,HEART OF WICKER LARGE,6,4.08,United Kingdom
86,275877,6373389,Sun Feb 10 08:09:00 IST 2019,439194,SET/5 RED RETROSPOT LID GLASS BOWLS,15,4.08,United Kingdom
87,370314,6076884,Sat Jul 21 09:10:00 IST 2018,1787583,WHITE HANGING HEART T-LIGHT HOLDER,9,4.08,United Kingdom
88,358239,6331622,Tue Jan 22 08:27:00 IST 2019,489531,VINTAGE CHRISTMAS STOCKING ,6,3.52,United Kingdom
89,361998,5959734,Wed Apr 04 09:21:00 IST 2018,470631,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2.7,United Kingdom
90,364098,5924886,Sat Feb 24 08:57:00 IST 2018,473109,MAGIC DRAWING SLATE GO TO THE FAIR ,18,0.58,United Kingdom
91,-1,6149605,Sun Sep 16 13:09:00 IST 2018,482055,36 FOIL STAR CAKE CASES ,3,3.4,United Kingdom
92,306012,6307180,Fri Jan 11 10:04:00 IST 2019,475734,DELUXE SEWING KIT ,6,8.22,United Kingdom
93,-1,6032103,Mon Jun 11 12:34:00 IST 2018,472017,WATERING CAN GARDEN MARKER,3,3.4,United Kingdom
94,338751,6049945,Tue Jun 26 04:32:00 IST 2018,461643,PACK OF 12 BLUE PAISLEY TISSUES ,72,0.41,United Kingdom
95,347193,6352676,Fri Feb 01 09:08:00 IST 2019,469581,GLASS JAR DAISY FRESH COTTON WOOL,3,4.08,United Kingdom
96,278313,5941056,Sun Mar 18 11:43:00 IST 2018,471891,TV DINNER TRAY AIR HOSTESS ,48,2.7,United Kingdom
97,267708,6366327,Wed Feb 06 07:41:00 IST 2019,435855,BLUE PAISLEY POCKET BOOK,3,1.18,United Kingdom
98,324429,6021620,Mon Jun 04 06:43:00 IST 2018,442680,SET/20 RED RETROSPOT PAPER NAPKINS ,36,1.18,United Kingdom
99,-1,5921839,Wed Feb 21 10:59:00 IST 2018,457989,CHRISTMAS HANGING TREE WITH BELL,3,3.47,United Kingdom
100,313131,6333261,Wed Jan 23 06:32:00 IST 2019,464898,BAKING SET 9 PIECE RETROSPOT ,18,6.84,EIRE
101,308364,6075135,Fri Jul 20 08:58:00 IST 2018,445473,PACK OF 72 SKULL CAKE CASES,3,0.76,United Kingdom
102,374661,6095760,Sat Aug 04 07:49:00 IST 2018,481047,PACK OF 20 NAPKINS PANTRY DESIGN,3,1.18,United Kingdom
103,268212,6275489,Sun Dec 23 05:19:00 IST 2018,474138,WOODEN STAR CHRISTMAS SCANDINAVIAN,36,0.41,Portugal
104,315693,6204572,Sat Nov 03 09:40:00 IST 2018,487326,LUNCH BAG APPLE DESIGN,3,2.28,United Kingdom
105,-1,6052332,Wed Jun 27 06:41:00 IST 2018,474999,SET OF 6 SOLDIER SKITTLES,3,10.3,United Kingdom
106,316260,6376821,Mon Feb 11 10:17:00 IST 2019,477855,SMALL PURPLE BABUSHKA NOTEBOOK ,3,1.18,United Kingdom
107,334110,5993207,Tue May 08 06:29:00 IST 2018,463827,PAPER BUNTING WHITE LACE,3,4.08,United Kingdom
